Node,Run,In Centrality,Total Spaces,Remaining Spaces,Full Count,Empty Count
0,1,0.5555555555555556,50,50,0,12
1,1,0.5555555555555556,50,50,0,1
2,1,0.7777777777777777,70,70,0,4
3,1,0.6666666666666666,60,8,0,0
4,1,0.6666666666666666,60,4,0,0
5,1,0.2222222222222222,20,10,0,0
6,1,0.2222222222222222,20,0,5,0
7,1,0.2222222222222222,20,0,1,0
8,1,0.4444444444444444,40,38,0,0
9,1,0.3333333333333333,30,0,1,0
0,2,0.5555555555555556,50,50,0,23
1,2,0.5555555555555556,50,50,0,1
2,2,0.7777777777777777,70,69,0,20
3,2,0.6666666666666666,60,18,2,0
4,2,0.6666666666666666,60,37,0,0
5,2,0.2222222222222222,20,0,0,0
6,2,0.2222222222222222,20,0,11,0
7,2,0.2222222222222222,20,0,1,0
8,2,0.4444444444444444,40,40,0,10
9,2,0.3333333333333333,30,0,2,0
0,3,0.5555555555555556,50,50,0,41
1,3,0.5555555555555556,50,50,0,1
2,3,0.7777777777777777,70,70,0,43
3,3,0.6666666666666666,60,40,2,0
4,3,0.6666666666666666,60,41,0,0
5,3,0.2222222222222222,20,0,0,0
6,3,0.2222222222222222,20,1,12,0
7,3,0.2222222222222222,20,0,1,0
8,3,0.4444444444444444,40,40,0,20
9,3,0.3333333333333333,30,0,3,0
0,4,0.5555555555555556,50,50,0,61
1,4,0.5555555555555556,50,50,0,1
2,4,0.7777777777777777,70,70,0,61
3,4,0.6666666666666666,60,41,2,0
4,4,0.6666666666666666,60,34,0,0
5,4,0.2222222222222222,20,10,0,0
6,4,0.2222222222222222,20,5,12,0
7,4,0.2222222222222222,20,0,2,0
8,4,0.4444444444444444,40,40,0,26
9,4,0.3333333333333333,30,0,4,0
0,5,0.5555555555555556,50,50,0,77
1,5,0.5555555555555556,50,50,0,1
2,5,0.7777777777777777,70,70,0,80
3,5,0.6666666666666666,60,59,2,6
4,5,0.6666666666666666,60,38,0,0
5,5,0.2222222222222222,20,12,0,0
6,5,0.2222222222222222,20,2,13,0
7,5,0.2222222222222222,20,0,3,0
8,5,0.4444444444444444,40,40,0,38
9,5,0.3333333333333333,30,0,6,0
0,6,0.5555555555555556,50,50,0,95
1,6,0.5555555555555556,50,50,0,1
2,6,0.7777777777777777,70,70,0,107
3,6,0.6666666666666666,60,59,2,14
4,6,0.6666666666666666,60,40,0,0
5,6,0.2222222222222222,20,13,0,0
6,6,0.2222222222222222,20,4,13,0
7,6,0.2222222222222222,20,0,4,0
8,6,0.4444444444444444,40,40,0,48
9,6,0.3333333333333333,30,4,6,0
0,7,0.5555555555555556,50,50,0,111
1,7,0.5555555555555556,50,50,0,1
2,7,0.7777777777777777,70,69,0,132
